rank,key,name,affiliation,country,publications,senior_authorships,recent_publications,recency_ratio,trials_led,industry_trials,centrality_raw,focus,top_journals,active_years,region,citation_proxy,c_publications,c_seniority,c_recency,c_trials,c_citations,c_centrality,influence_score,tier,rising_star,whitespace
11,zhang_h,Hailing Zhang,"Department of Hematology, Shanghai East Hospital, Tongji University School of Medicine, Shanghai 200120, China.",China,16,3,10,0.625,4,2,0.25410462863522704,"Prognosis, Animals, Mice, Histone-Lysine N-Methyltransferase, Cell Line, Tumor, Cell Proliferation","Clinical lymphoma, myeloma & leukemia, Wounds : a compendium of clinical research and practice, Biomolecules",2022-2026,Asia-Pacific,3,98.8,94.8,98.4,98.7,94.8,96.0,97.2,Tier 1,False,False
12,huang_h,He Huang,"Department of Cardiology, West China Hospital, Sichuan University, Chengdu, China.",China,11,5,4,0.364,4,0,0.24240939534347605,"Retrospective Studies, Hematologic Neoplasms, Immunotherapy, Adoptive, Animals, Autoimmune Diseases, Communicable Diseases","Frontiers in cardiovascular medicine, Translational cancer research, Frontiers in immunology",2021-2026,Asia-Pacific,5,97.3,99.0,88.8,98.7,99.0,95.6,96.6,Tier 1,False,True
13,liu_s,Shuang Liu,"Department of Hematology, Tianjin Medical University Cancer Institute and Hospital, National Clinical Research Center for Cancer, Key Laboratory of Cancer Prevention and Therapy, Tianjin's Clinical Research Center for Cancer, Tianjin, China.",China,12,4,7,0.583,2,0,0.17766203557782762,"Animals, Drug Resistance, Neoplasm, Immune Checkpoint Inhibitors, Neoplasms, Programmed Cell Death 1 Receptor, Tumor Microenvironment","Frontiers in oncology, Frontiers in immunology, Wounds : a compendium of clinical research and practice",2021-2026,Asia-Pacific,4,97.8,97.7,97.0,95.2,97.7,91.7,96.5,Tier 1,False,True
14,wang_q,Qi Wang,"Jiangsu Institute of Hematology, National Clinical Research Center for Hematologic Diseases, NHC Key Laboratory of Thrombosis and Hemostasis,Collaborative Innovation Center of Hematology, The First Affiliated Hospital of Soochow University, Suzhou 215006, China.",China,15,3,7,0.467,2,0,0.331769850570944,"Chromosome Aberrations, Transplantation, Autologous, Dexamethasone, Chromothripsis, Retrospective Studies, Animals","Zhonghua xue ye xue za zhi = Zhonghua xueyexue zazhi, Cancers, Translational cancer research",2021-2026,Asia-Pacific,3,98.5,94.8,97.0,95.2,94.8,97.9,96.4,Tier 1,False,True
15,chen_l,Lijuan Chen,"Department of Hematology, the First Affiliated Hospital of Nanjing Medical University, Jiangsu Province Hospital, Nanjing 210029, China.",China,17,4,8,0.471,1,0,0.19872127793427183,"Animals, Mice, Prognosis, Retrospective Studies, Hematopoietic Stem Cell Transplantation, Transplantation, Autologous","Frontiers in oncology, Zhonghua xue ye xue za zhi = Zhonghua xueyexue zazhi, Molecular therapy : the journal of the American Society of Gene Therapy",2021-2026,Asia-Pacific,4,99.0,97.7,97.7,91.0,97.7,93.6,96.3,Tier 1,False,True
16,patel_k,Krina K Patel,"Department of Lymphoma and Myeloma, The University of Texas MD Anderson Cancer Center, Houston, Texas.",USA,13,3,11,0.846,2,0,0.19206669569836318,"Retrospective Studies, Hematopoietic Stem Cell Transplantation, Transplantation, Autologous, Prognosis, Hematopoietic Stem Cell Mobilization, Heterocyclic Compounds","Transplantation and cellular therapy, Clinical lymphoma, myeloma & leukemia, Cancer",2023-2026,North America,3,98.1,94.8,98.8,95.2,94.8,93.2,96.2,Tier 1,True,True
17,chng_w,Wee Joo Chng,"Department of Haematology-Oncology, National University Cancer Institute, Singapore, Singapore.",Singapore,10,3,7,0.7,2,0,0.33031098978876294,"Antibodies, Monoclonal, Dexamethasone, Cost-Benefit Analysis, Lenalidomide, Cell Line, Tumor, Cell Proliferation","Blood neoplasia, Expert review of pharmacoeconomics & outcomes research, Cancer research",2022-2026,Asia-Pacific,3,96.6,94.8,97.0,95.2,94.8,97.8,95.9,Tier 1,True,True
18,ramasamy_k,Karthik Ramasamy,Department of ClinicalHaematology John Radcliffe and Churchill Hospitals Oxford University Hospitals NHS Trust Oxford UK.,Unknown,11,3,5,0.455,2,0,0.368267297419634,"Dexamethasone, Antibodies, Monoclonal, Lenalidomide, Immunomodulating Agents, United Kingdom, Prospective Studies","EJHaem, Clinical lymphoma, myeloma & leukemia, European journal of haematology",2021-2026,Unknown,3,97.3,94.8,93.1,95.2,94.8,98.1,95.6,Tier 1,False,True
19,jagannath_s,Sundar Jagannath,"Division of Hematology and Medical Oncology, Icahn School of Medicine at Mount Sinai, New York, NY.",USA,8,3,5,0.625,2,1,0.261917284614282,"B-Cell Maturation Antigen, Immunotherapy, Adoptive, Movement Disorders, Parkinsonian Disorders, Receptors, Chimeric Antigen, Prospective Studies","Clinical lymphoma, myeloma & leukemia, Blood neoplasia, EJHaem",2021-2026,North America,3,94.4,94.8,93.1,95.2,94.8,96.1,94.7,Tier 1,False,False
20,mian_h,Hira Mian,"Department of Oncology, McMaster University, Hamilton, ON, Canada.",Canada,7,3,5,0.714,2,0,0.28349718488372033,"Prognosis, ADP-ribosyl Cyclase 1, Neoplasms, Plasma Cell, Frail Elderly, Frailty, Immunotherapy","Frontiers in oncology, Blood cancer journal, Clinical lymphoma, myeloma & leukemia",2022-2026,North America,3,92.7,94.8,93.1,95.2,94.8,96.8,94.3,Tier 1,True,True
21,gertz_m,Morie A Gertz,"Division of Hematology, Mayo Clinic, Rochester, Minnesota, USA.",USA,8,3,6,0.75,3,0,0.10246436062172642,"Hematopoietic Stem Cell Transplantation, Prognosis, Retrospective Studies, Transplantation, Autologous, Cohort Studies, Disease-Free Survival","American journal of hematology, Blood cancer journal, Leukemia & lymphoma",2022-2026,North America,3,94.4,94.8,95.4,97.4,94.8,79.4,93.8,Tier 1,True,True
22,dimopoulos_m,Meletios-Athanasios Dimopoulos,"Department of Clinical Therapeutics, School of Medicine, National and Kapodistrian University of Athens, 11528 Athens, Greece.",Greece,10,2,6,0.6,4,0,0.286048543193052,"Antibodies, Monoclonal, Humanized, Immunogenic Cell Death, Melphalan, Panobinostat, Leukocytes, Mononuclear, DNA Repair","Clinical lymphoma, myeloma & leukemia, Biomedicines, American journal of hematology",2021-2026,Europe,2,96.6,86.2,95.4,98.7,86.2,96.9,93.8,Tier 1,False,True
23,an_g,Gang An,"State Key Laboratory of Experimental Hematology, National Clinical Research Center for Blood Diseases, Haihe Laboratory of Cell Ecosystem, Institute of Hematology & Blood Diseases Hospital, Chinese Academy of Medical Sciences & Peking Union Medical College, Tianjin 300020, China.",China,7,3,5,0.714,2,0,0.16572187935755178,"Plasma Cells, Prognosis, Immunoglobulin M, In Situ Hybridization, Fluorescence, Immunotherapy, Bone Marrow","Zhonghua xue ye xue za zhi = Zhonghua xueyexue zazhi, Frontiers in immunology, Cell metabolism",2021-2026,Asia-Pacific,3,92.7,94.8,93.1,95.2,94.8,90.6,93.7,Tier 1,True,True
24,einsele_h,Hermann Einsele,"Department of Internal Medicine II, University Hospital of Würzburg, Würzburg, Germany.",Germany,10,2,8,0.8,2,0,0.7031362388921634,"Immunotherapy, Adoptive, Receptors, Chimeric Antigen, T-Lymphocytes, Antibodies, Monoclonal, Antibodies, Bispecific, Accreditation","Annals of oncology : official journal of the European Society for Medical Oncology, Communications biology, Annals of hematology",2022-2026,Europe,2,96.6,86.2,97.7,95.2,86.2,99.8,93.7,Tier 1,True,True
25,liu_h,Hui Liu,"State Key Laboratory of Bioelectronics, School of Biological Science & Medical Engineering, Southeast University, Nanjing, China.",China,18,2,12,0.667,1,0,0.4413773825650804,"Cell Line, Tumor, Animals, Tumor Microenvironment, Prognosis, Mice, Bortezomib","Cancers, Frontiers in oncology, Bioengineered",2021-2026,Asia-Pacific,2,99.2,86.2,99.2,91.0,86.2,98.7,93.6,Tier 1,False,True
26,li_c,C Y Li,"Department of Hematology, the Affiliated Hospital of Xuzhou Medical University, Xuzhou 221002, China.",China,9,2,6,0.667,4,0,0.2740239374186272,"Risk Factors, Cell Line, Tumor, Receptors, Chimeric Antigen, Immunotherapy, Adoptive, T-Lymphocytes, Lymphoma","Zhonghua xue ye xue za zhi = Zhonghua xueyexue zazhi, Frontiers in pharmacology, Bone marrow transplantation",2022-2025,Asia-Pacific,2,95.6,86.2,95.4,98.7,86.2,96.5,93.5,Tier 1,False,True
27,dhakal_b,Binod Dhakal,"Division of Hematology/Oncology, Department of Medicine, Medical College of Wisconsin, Milwaukee, WI.",USA,8,2,6,0.75,4,0,0.22701063876671063,"Receptors, Chimeric Antigen, Antibodies, Monoclonal, Lenalidomide, Immunotherapy, Adoptive, Cell- and Tissue-Based Therapy, Dexamethasone","Journal of clinical oncology : official journal of the American Society of Clinical Oncology, Bone marrow transplantation, Transplantation and cellular therapy",2022-2026,North America,2,94.4,86.2,95.4,98.7,86.2,95.1,93.1,Tier 1,True,True
28,xu_y,Yan Xu,"Department of Hematology, Hainan Hospital of Chinese PLA General Hospital, Sanya, China.",China,11,2,5,0.455,4,1,0.17134104411719692,"Plasma Cells, Hematopoietic Stem Cell Transplantation, Antineoplastic Agents, Cell Proliferation, Structure-Activity Relationship, Drug Discovery","Zhongguo shi yan xue ye xue za zhi, Translational cancer research, Zhonghua xue ye xue za zhi = Zhonghua xueyexue zazhi",2021-2026,Asia-Pacific,2,97.3,86.2,93.1,98.7,86.2,91.1,93.0,Tier 1,False,False
29,qazilbash_m,Muzaffar H Qazilbash,"Department of Stem Cell Transplantation and Cellular Therapy, The University of Texas MD Anderson Cancer Center, Houston, Texas.",USA,6,4,5,0.833,4,0,0.0800244343511746,"Hematopoietic Stem Cell Transplantation, Transplantation, Autologous, Retrospective Studies, Hematopoietic Stem Cell Mobilization, Heterocyclic Compounds, Antigens, CD34","Transplantation and cellular therapy, Cancer, American journal of hematology",2023-2026,North America,4,89.7,97.7,93.1,98.7,97.7,69.8,92.4,Tier 1,True,True
30,costa_l,Luciano J Costa,"University of Alabama at Birmingham, Vestavia Hills, Alabama, United States.",USA,7,3,3,0.429,7,0,0.16530117497120025,"Prognosis, Antibodies, Bispecific, Neoplasm Recurrence, Local, Biomarkers, Frailty, Lymphocytes","Journal of geriatric oncology, Journal of clinical oncology : official journal of the American Society of Clinical Oncology, Blood cancer journal",2022-2026,North America,3,92.7,94.8,78.7,99.7,94.8,90.5,92.4,Tier 1,False,True
31,usmani_s,Saad Z Usmani,Levine Cancer Institute-Atrium Health Charlotte North Carolina USA.,USA,9,2,6,0.667,1,1,0.43675587375850383,"Influenza, Human, Prospective Studies, Hospitalization, Vaccination, United States, Diet","EJHaem, Clinical lymphoma, myeloma & leukemia, Leukemia",2022-2026,North America,2,95.6,86.2,95.4,91.0,86.2,98.5,92.2,Tier 1,False,False
32,zhuang_j,J L Zhuang,"Department of Hematology, Zhongshan Hospital, Fudan University, Shanghai, China.",China,6,3,4,0.667,2,0,0.14044979529797258,"Boron Compounds, Lenalidomide, Glycine, Dexamethasone, Neoplasm Recurrence, Local, Prognosis","Zhonghua xue ye xue za zhi = Zhonghua xueyexue zazhi, Frontiers in cell and developmental biology, Chronic diseases and translational medicine",2021-2025,Asia-Pacific,3,89.7,94.8,88.8,95.2,94.8,87.5,92.0,Tier 1,False,True
33,munshi_n,Nikhil C Munshi,"Department of Medical Oncology, Dana Farber Cancer Institute, Harvard Medical School, Boston, MA, 02115, USA. nikhil_munshi@dfci.harvard.edu.",USA,6,3,3,0.5,3,1,0.2031312471558318,"Alternative Splicing, RNA Splicing Factors, Exons, Serine-Arginine Splicing Factors, Recurrence, Immunotherapy, Adoptive","Blood cancer journal, Nature communications, Frontiers in oncology",2022-2026,North America,3,89.7,94.8,78.7,97.4,94.8,93.9,91.5,Tier 1,False,False
34,song_y,Yuqin Song,"Key Laboratory of Carcinogenesis and Translational Research (Ministry of Education), Department of Lymphoma, Peking University Cancer Hospital & Institute, 100142, Beijing, China.",China,8,2,7,0.875,1,0,0.18080217568466078,"Lymphoma, Hematopoietic Stem Cell Transplantation, Transplantation, Autologous, China, Dexamethasone, Neoplasm Recurrence, Local","Bone marrow transplantation, Genes & diseases, Annals of hematology",2023-2026,Asia-Pacific,2,94.4,86.2,97.0,91.0,86.2,92.1,91.4,Tier 1,True,True
35,kim_h,Hyo Jung Kim,"Department of Internal Medicine, Hallym University Sacred Heart Hospital, Anyang, Republic of Korea.",South Korea,9,2,5,0.556,1,1,0.1922688573972599,"Republic of Korea, Hematologic Neoplasms, Adolescent, Artificial Intelligence, Ethnicity, Leukemia, Myeloid, Acute","Medicine, Annals of laboratory medicine, Drug design, development and therapy",2021-2026,Asia-Pacific,2,95.6,86.2,93.1,91.0,86.2,93.2,91.3,Tier 1,False,False
36,mohyuddin_g,Ghulam Rehman Mohyuddin,University of Kansas Medical Center Kansas City Kansas USA.,USA,6,4,4,0.667,2,0,0.08451338358311837,"Prognosis, ADP-ribosyl Cyclase 1, Neoplasms, Plasma Cell","EJHaem, Blood cancer journal, HemaSphere",2021-2026,North America,4,89.7,97.7,88.8,95.2,97.7,71.8,91.3,Tier 1,False,True
37,richardson_p,Paul G Richardson,"Dana-Farber Cancer Institute, Boston, MA, USA.",USA,7,2,3,0.429,9,3,0.24643418508786125,"Black People, Bortezomib, Dexamethasone, Hematologic Neoplasms, Lenalidomide, Antibodies, Monoclonal","Cancers, Future oncology (London, England), Frontiers in oncology",2022-2026,North America,2,92.7,86.2,78.7,99.9,86.2,95.7,90.4,Tier 1,False,False
38,jin_j,Jia Xiang Jin,"Department of Hematology, The First Affiliated Hospital Zhejiang University School of Medicine, Hangzhou, China.",China,4,3,4,1.0,3,3,0.2114154468914809,"Dexamethasone, Neoplasm Recurrence, Local, Thalidomide","Journal of clinical oncology : official journal of the American Society of Clinical Oncology, Annals of hematology, Acta pharmaceutica Sinica. B",2024-2026,Asia-Pacific,3,78.1,94.8,88.8,97.4,94.8,94.4,90.2,Tier 1,True,False
39,lee_j,Je-Jung Lee,"Department of Internal Medicine, Chonnam National University Hwasun Hospital, 322 Seoyang-ro, Hwasun, Jeollanam-do 519-763, Republic of Korea.",South Korea,8,2,6,0.75,1,0,0.11216423720518896,"Antineoplastic Agents, Adrenal Cortex Hormones, Adrenal Insufficiency, Adrenocorticotropic Hormone, Hydrocortisone, Prevalence","Cancer research and treatment, Haematologica, BioMed research international",2021-2026,Asia-Pacific,2,94.4,86.2,95.4,91.0,86.2,82.1,90.2,Tier 1,True,True
40,lee_c,Cindy H Lee,"School of Medicine, Western Sydney University, Campbelltown, NSW 2560, Australia.",Australia,7,2,4,0.571,1,0,0.16224558817016466,"Signal Transduction, Apoptosis, Bortezomib, Cell Line, Tumor, Cell Proliferation, Chaperone-Mediated Autophagy","Cells, Life (Basel, Switzerland), Biomedicines",2021-2026,Asia-Pacific,2,92.7,86.2,88.8,91.0,86.2,90.2,89.6,Tier 1,False,True
41,nooka_a,Ajay K Nooka,"Winship Cancer Institute, Emory University, Atlanta, GA, USA.",USA,5,3,3,0.6,2,0,0.1413152795148382,"Black People, Bortezomib, Dexamethasone, Hematologic Neoplasms, Lenalidomide, Antibodies, Monoclonal","Future oncology (London, England), Blood cancer journal, Blood neoplasia",2022-2026,North America,3,85.1,94.8,78.7,95.2,94.8,87.5,89.3,Tier 1,False,True
42,zhou_h,Huixing Zhou,"Department of Hematology, Ji'ning No. 1 People's Hospital, Ji'ning, Shandong, China.",China,10,2,3,0.3,1,0,0.1576753056744847,"Hematopoietic Stem Cell Transplantation, Transplantation, Autologous, Animals, Antibodies, Monoclonal, Cell Line, Tumor, Graft vs Host Disease","Annals of hematology, Open life sciences, Frontiers in immunology",2021-2026,Asia-Pacific,2,96.6,86.2,78.7,91.0,86.2,89.7,89.0,Tier 1,False,True
43,zamagni_e,Elena Zamagni,"IRCCS Azienda Ospedaliero-Universitaria di Bologna, Istituto di Ematologia ""Seràgnoli"", Bologna, Italy; Italy Dipartimento di Medicina Specialistica, Diagnostica e Sperimentale, Università di Bologna, Bologna, Italy.",Italy,5,2,4,0.8,2,0,0.1996259698130709,"Lenalidomide, Neoplasm, Residual, Dexamethasone, Prognosis, Hematopoietic Stem Cell Transplantation, Cyclophosphamide","Clinical lymphoma, myeloma & leukemia, The Lancet. Oncology, European journal of haematology",2023-2026,Europe,2,85.1,86.2,88.8,95.2,86.2,93.6,88.9,Tier 1,True,True
44,du_j,J Du,"Department of Hematology, the Myeloma & Lymphoma Center, Changzheng Hospital, Naval Medical University, Shanghai 200433, China.",China,7,2,3,0.429,4,0,0.11192834690414072,"Prognosis, Retrospective Studies, Case-Control Studies, Lenalidomide, Central Nervous System, Lymphoma","Zhonghua xue ye xue za zhi = Zhonghua xueyexue zazhi, Bone marrow transplantation, Chronic diseases and translational medicine",2022-2025,Asia-Pacific,2,92.7,86.2,78.7,98.7,86.2,81.9,88.8,Tier 1,False,True
45,li_y,Yang Li,"Department of Hematology, Shengjing Hospital of China Medical University, Shenyang, China.",China,40,13,24,0.6,0,0,0.7587770253399014,"Retrospective Studies, Immunotherapy, Animals, Immunotherapy, Adoptive, Cell Line, Tumor, Receptors, Chimeric Antigen","Frontiers in oncology, BMC cancer, Cancers",2021-2026,Asia-Pacific,13,99.9,99.9,99.9,44.2,99.9,99.9,88.8,Tier 1,False,True
46,chakraborty_r,Rajshekhar Chakraborty,"Department of Hematology, Columbia University, New York, NY, USA.",USA,7,2,6,0.857,1,0,0.08371821173495794,"Prognosis, ADP-ribosyl Cyclase 1, Neoplasms, Plasma Cell, Immunotherapy, Adoptive, Receptors, Chimeric Antigen","Blood cancer journal, Bone marrow transplantation, American Society of Clinical Oncology educational book. American Society of Clinical Oncology. Annual Meeting",2022-2026,North America,2,92.7,86.2,95.4,91.0,86.2,71.5,88.7,Tier 1,True,True
47,li_j,Juan Li,"Department of Hematology, the First Affiliated Hospital of Nanjing Medical University, Jiangsu Province Hospital, Nanjing 210029, China.",China,32,15,20,0.625,0,0,0.4587814900489853,"Retrospective Studies, Prognosis, Hematopoietic Stem Cell Transplantation, Transplantation, Autologous, Cell Line, Tumor, Animals","Zhonghua xue ye xue za zhi = Zhonghua xueyexue zazhi, Annals of hematology, Chinese medical journal",2021-2026,Asia-Pacific,15,99.8,100.0,99.9,44.2,100.0,99.0,88.7,Tier 1,False,True
48,wang_h,Huijuan Wang,"Department of Hematology, Shengjing Hospital of China Medical University, Shenyang, China.",China,28,12,19,0.679,0,0,0.3684400773239409,"Retrospective Studies, Prognosis, Animals, Bone Marrow, Mice, Cell Line, Tumor","BMC cancer, Zhongguo shi yan xue ye xue za zhi, Frontiers in oncology",2021-2026,Asia-Pacific,12,99.7,99.9,99.8,44.2,99.9,98.2,88.5,Tier 1,False,True
49,zhang_y,Yan Zhang,"Department of Hematology, The Second Affiliated Hospital of Chongqing Medical University, 76 Linjiang Road, Chongqing 400010, China.",China,35,7,17,0.486,0,0,0.5090505632817887,"Animals, Mice, Antineoplastic Agents, Immunotherapy, Adoptive, Cell Line, Tumor, Receptors, Chimeric Antigen","Zhongguo shi yan xue ye xue za zhi, Frontiers in cell and developmental biology, Frontiers in oncology",2021-2026,Asia-Pacific,7,99.9,99.5,99.7,44.2,99.5,99.4,88.5,Tier 1,False,True
50,kim_k,Kihyun Kim,"Division of Hematology-Oncology, Department of Medicine, Samsung Medical Center, Sungkyunkwan University School of Medicine, Seoul, Korea.",South Korea,6,2,6,1.0,2,0,0.07761331456886639,"Republic of Korea, Immunophenotyping, Neoplasms, Antibodies, Flow Cytometry, Antibodies, Monoclonal","Cancer research and treatment, Annals of laboratory medicine, The American journal of gastroenterology",2024-2026,Asia-Pacific,2,89.7,86.2,95.4,95.2,86.2,68.8,88.5,Tier 1,True,True
51,wang_j,Jinuo Wang,"Department of Cell and Developmental Biology, SUNY Upstate Medical University, Syracuse, New York, USA.",USA,23,8,14,0.609,0,0,0.5009942696454797,"Animals, Retrospective Studies, Prognosis, Cell Line, Tumor, Neoplasm, Residual, Bortezomib","Frontiers in immunology, Cytoskeleton (Hoboken, N.J.), Frontiers in oncology",2021-2026,North America,8,99.4,99.7,99.4,44.2,99.7,99.3,88.4,Tier 1,False,True
52,chen_w,Wenming Chen,"Department of Hematology, Myeloma Research Center of Beijing, Beijing Chaoyang Hospital, Capital Medical University, Beijing, China.",China,18,5,12,0.667,0,0,0.6963123668283839,"Retrospective Studies, Animals, Hematopoietic Stem Cell Transplantation, Transplantation, Autologous, Prognosis, China","Frontiers in oncology, European journal of medicinal chemistry, Transfusion medicine and hemotherapy : offizielles Organ der Deutschen Gesellschaft fur Transfusionsmedizin und Immunhamatologie",2022-2026,Asia-Pacific,5,99.2,99.0,99.2,44.2,99.0,99.7,88.2,Tier 1,False,True
53,liu_j,Jing Liu,"School of Pharmacy, Weifang Medical University, Weifang 261053, China.",China,25,5,16,0.64,0,0,0.28457413591112884,"Cell Line, Tumor, Retrospective Studies, Animals, Prognosis, Hematopoietic Stem Cell Transplantation, Receptors, Chimeric Antigen","Zhonghua xue ye xue za zhi = Zhonghua xueyexue zazhi, Zhongguo shi yan xue ye xue za zhi, Biomolecules",2021-2026,Asia-Pacific,5,99.5,99.0,99.6,44.2,99.0,96.9,88.0,Tier 1,False,True
54,lim_s,Seok Ming Lim,"Department of Haematology, Peter MacCallum Cancer Centre and Royal Melbourne Hospital, Melbourne, Australia.",Australia,6,2,4,0.667,1,1,0.10237195290634349,"Bortezomib, COVID-19, Dexamethasone, Pandemics, SARS-CoV-2, Retrospective Studies","Expert review of hematology, Cancer treatment and research communications, Internal medicine journal",2021-2026,Asia-Pacific,2,89.7,86.2,88.8,91.0,86.2,79.3,87.8,Tier 1,False,False
55,harrison_s,Simon J Harrison,Sir Peter MacCallum Department of Oncology University of Melbourne Melbourne Australia.,Australia,6,2,4,0.667,1,0,0.1009352966535986,"Australia, Bortezomib, COVID-19, Dexamethasone, Pandemics, SARS-CoV-2","EJHaem, Expert review of hematology, Internal medicine journal",2021-2026,Asia-Pacific,2,89.7,86.2,88.8,91.0,86.2,79.0,87.7,Tier 1,False,True
56,zhang_j,Juan Zhang,"Department of Laboratory Medicine and Sichuan Provincial Key Laboratory for Human Disease Gene Study, Sichuan Provincial People's Hospital, University of Electronic Science and Technology of China, Chengdu, China.",China,21,4,13,0.619,0,0,0.3998642143097788,"Animals, Cell Line, Tumor, Mice, Neoplasm Recurrence, Local, Xenograft Model Antitumor Assays, Mice, Inbred NOD","Frontiers in immunology, Frontiers in oncology, Acta pharmaceutica Sinica. B",2021-2026,Asia-Pacific,4,99.4,97.7,99.4,44.2,97.7,98.3,87.7,Tier 1,False,True
